Tabelle: 61111-0002
Consumer price index: Germany, months;;;;
Consumer price index for Germany;;;;;;;
Germany;;;;;;;
;;Consumer price index;;Change on previous year's month;;Change on previous month;
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
1991;January;60.5;e;.;;.;
;February;60.8;e;.;;0.5;e
;March;60.8;e;.;;-;
;April;61.0;e;.;;0.3;e
;May;61.1;e;.;;0.2;e
;June;61.5;e;.;;0.7;e
;July;62.2;e;.;;1.1;e
;August;62.2;e;.;;-;
;September;62.2;e;.;;-;
;October;63.2;e;.;;1.6;e
;November;63.4;e;.;;0.3;e
;December;63.5;e;.;;0.2;e
1992;January;63.9;e;5.6;e;0.6;e
;February;64.3;e;5.8;e;0.6;e
;March;64.5;e;6.1;e;0.3;e
;April;64.7;e;6.1;e;0.3;e
;May;64.9;e;6.2;e;0.3;e
;June;65.1;e;5.9;e;0.3;e
;July;65.3;e;5.0;e;0.3;e
;August;65.3;e;5.0;e;-;
;September;65.3;e;5.0;e;-;
;October;65.3;e;3.3;e;-;
;November;65.6;e;3.5;e;0.5;e
;December;65.7;e;3.5;e;0.2;e
1993;January;66.8;e;4.5;e;1.7;e
;February;67.3;e;4.7;e;0.7;e
;March;67.5;e;4.7;e;0.3;e
;April;67.7;e;4.6;e;0.3;e
;May;67.8;e;4.5;e;0.1;e
;June;68.0;e;4.5;e;0.3;e
;July;68.3;e;4.6;e;0.4;e
;August;68.3;e;4.6;e;-;
;September;68.2;e;4.4;e;-0.1;e
;October;68.2;e;4.4;e;-;
;November;68.3;e;4.1;e;0.1;e
;December;68.5;e;4.3;e;0.3;e
1994;January;68.8;e;3.0;e;0.4;e
;February;69.4;e;3.1;e;0.9;e
;March;69.5;e;3.0;e;0.1;e
;April;69.6;e;2.8;e;0.1;e
;May;69.7;e;2.8;e;0.1;e
;June;69.8;e;2.6;e;0.1;e
;July;69.9;e;2.3;e;0.1;e
;August;70.1;e;2.6;e;0.3;e
;September;69.9;e;2.5;e;-0.3;e
;October;69.8;e;2.3;e;-0.1;e
;November;69.9;e;2.3;e;0.1;e
;December;70.1;e;2.3;e;0.3;e
1995;January;70.4;e;2.3;e;0.4;e
;February;70.8;e;2.0;e;0.6;e
;March;70.8;e;1.9;e;-;
;April;70.9;e;1.9;e;0.1;e
;May;70.9;e;1.7;e;-;
;June;71.0;e;1.7;e;0.1;e
;July;71.2;e;1.9;e;0.3;e
;August;71.2;e;1.6;e;-;
;September;71.2;e;1.9;e;-;
;October;71.0;e;1.7;e;-0.3;e
;November;71.0;e;1.6;e;-;
;December;71.2;e;1.6;e;0.3;e
1996;January;71.4;e;1.4;e;0.3;e
;February;71.8;e;1.4;e;0.6;e
;March;71.8;e;1.4;e;-;
;April;71.8;e;1.3;e;-;
;May;71.9;e;1.4;e;0.1;e
;June;72.0;e;1.4;e;0.1;e
;July;72.1;e;1.3;e;0.1;e
;August;72.1;e;1.3;e;-;
;September;72.1;e;1.3;e;-;
;October;72.1;e;1.5;e;-;
;November;72.0;e;1.4;e;-0.1;e
;December;72.3;e;1.5;e;0.4;e
1997;January;72.9;e;2.1;e;0.8;e
;February;73.0;e;1.7;e;0.1;e
;March;73.0;e;1.7;e;-;
;April;72.9;e;1.5;e;-0.1;e
;May;73.1;e;1.7;e;0.3;e
;June;73.1;e;1.5;e;-;
;July;73.8;e;2.4;e;1.0;e
;August;73.8;e;2.4;e;-;
;September;73.7;e;2.2;e;-0.1;e
;October;73.6;e;2.1;e;-0.1;e
;November;73.6;e;2.2;e;-;
;December;73.8;e;2.1;e;0.3;e
1998;January;73.8;e;1.2;e;-;
;February;73.9;e;1.2;e;0.1;e
;March;73.8;e;1.1;e;-0.1;e
;April;73.9;e;1.4;e;0.1;e
;May;74.0;e;1.2;e;0.1;e
;June;74.1;e;1.4;e;0.1;e
;July;74.4;e;0.8;e;0.4;e
;August;74.2;e;0.5;e;-0.3;e
;September;74.0;e;0.4;e;-0.3;e
;October;73.9;e;0.4;e;-0.1;e
;November;73.9;e;0.4;e;-;
;December;74.0;e;0.3;e;0.1;e
1999;January;73.9;e;0.1;e;-0.1;e
;February;74.0;e;0.1;e;0.1;e
;March;74.0;e;0.3;e;-;
;April;74.4;e;0.7;e;0.5;e
;May;74.4;e;0.5;e;-;
;June;74.5;e;0.5;e;0.1;e
;July;74.8;e;0.5;e;0.4;e
;August;74.8;e;0.8;e;-;
;September;74.6;e;0.8;e;-0.3;e
;October;74.5;e;0.8;e;-0.1;e
;November;74.7;e;1.1;e;0.3;e
;December;74.9;e;1.2;e;0.3;e
2000;January;75.1;e;1.6;e;0.3;e
;February;75.1;e;1.5;e;-;
;March;75.1;e;1.5;e;-;
;April;75.1;e;0.9;e;-;
;May;75.1;e;0.9;e;-;
;June;75.4;e;1.2;e;0.4;e
;July;75.8;e;1.3;e;0.5;e
;August;75.6;e;1.1;e;-0.3;e
;September;75.8;e;1.6;e;0.3;e
;October;75.7;e;1.6;e;-0.1;e
;November;75.8;e;1.5;e;0.1;e
;December;76.4;e;2.0;e;0.8;e
2001;January;76.2;e;1.5;e;-0.3;e
;February;76.6;e;2.0;e;0.5;e
;March;76.6;e;2.0;e;-;
;April;76.9;e;2.4;e;0.4;e
;May;77.2;e;2.8;e;0.4;e
;June;77.3;e;2.5;e;0.1;e
;July;77.4;e;2.1;e;0.1;e
;August;77.2;e;2.1;e;-0.3;e
;September;77.2;e;1.8;e;-;
;October;77.1;e;1.8;e;-0.1;e
;November;76.9;e;1.5;e;-0.3;e
;December;77.7;e;1.7;e;1.0;e
2002;January;77.7;e;2.0;e;-;
;February;78.0;e;1.8;e;0.4;e
;March;78.2;e;2.1;e;0.3;e
;April;78.1;e;1.6;e;-0.1;e
;May;78.2;e;1.3;e;0.1;e
;June;78.2;e;1.2;e;-;
;July;78.3;e;1.2;e;0.1;e
;August;78.2;e;1.3;e;-0.1;e
;September;78.2;e;1.3;e;-;
;October;78.1;e;1.3;e;-0.1;e
;November;77.8;e;1.2;e;-0.4;e
;December;78.5;e;1.0;e;0.9;e
2003;January;78.5;e;1.0;e;-;
;February;79.0;e;1.3;e;0.6;e
;March;79.0;e;1.0;e;-;
;April;78.8;e;0.9;e;-0.3;e
;May;78.6;e;0.5;e;-0.3;e
;June;78.9;e;0.9;e;0.4;e
;July;79.0;e;0.9;e;0.1;e
;August;79.0;e;1.0;e;-;
;September;79.0;e;1.0;e;-;
;October;79.0;e;1.2;e;-;
;November;78.8;e;1.3;e;-0.3;e
;December;79.4;e;1.1;e;0.8;e
2004;January;79.4;e;1.1;e;-;
